避難收容處所名稱,避難收容處所地址,經度,緯度,室內室外,可容納人數,最近測站ID,最近測站名稱,最近測站位置,周圍空氣污染指數,風險等級,最近測站距離(km),影響測站數量
五峰活動中心,,121.073,24.386,True,110,三義,三義,(苗栗縣),37.3,low risk,31.75,48
金門縣烈嶼鄉林湖村辦公處,東林24號,118.248571,24.428328,True,30,金門,金門,(金門縣),52.0,warning,6.46,1
南坑村集會所暨南外社區活動中心,9鄰大南坑1-5號,121.0561,24.6725,True,20,竹東,竹東,(新竹縣),36.34,low risk,8.3,46
霞雲社區活動中心,6鄰22-1號,121.406238,24.814018,True,36,新北（樹林）,新北（樹林）,(新北市),38.2,low risk,15.19,36
澤仁里辦公處,14鄰中正路168之1號,121.351987,24.820601,True,40,龍潭,龍潭,(桃園市),37.95,low risk,14.5,36
奎輝里活動中心,3鄰羅馬路3段355號,121.334302,24.797047,True,50,龍潭,龍潭,(桃園市),37.9,low risk,14.03,38
高義教會,6鄰48號,121.354462,24.706112,True,61,龍潭,龍潭,(桃園市),37.52,low risk,22.41,42
東莒老人活動中心,57-1號,119.977206,25.956666,True,0,馬祖,馬祖,(連江縣),46.0,low risk,22.05,1
福正風景管理處,1號,119.985351,25.961848,True,0,馬祖,馬祖,(連江縣),46.0,low risk,21.58,1
莒光指揮部國軍文康中心,莒光指揮部國軍文康中心,119.932125,25.97828,True,0,馬祖,馬祖,(連江縣),46.0,low risk,19.62,1
田沃老人活動中心,52號,119.944922,25.972438,True,0,馬祖,馬祖,(連江縣),46.0,low risk,20.17,1
青帆老人活動中心,1號,119.933712,25.969995,True,150,馬祖,馬祖,(連江縣),46.0,low risk,20.52,1
敬恆國中小禮堂,18號,119.933934,25.970819,True,200,馬祖,馬祖,(連江縣),46.0,low risk,20.43,1
東莒國小綜合教室,4號,119.97711,25.957484,True,200,馬祖,馬祖,(連江縣),46.0,low risk,21.96,1
上大社區活動中心,8鄰大湖路一段510號,121.147333,24.978234,True,0,平鎮,平鎮,(桃園市),37.77,low risk,6.37,35
武威社區活動中心,4鄰武威一路10號,121.073317,25.028242,True,0,觀音,觀音,(桃園市),37.96,low risk,1.26,35
塔腳社區活動中心,4鄰塔腳路116號,121.154708,25.049298,True,0,大園,大園,(桃園市),38.79,low risk,4.99,35
廣福社區活動中心,福山路二段403巷6號,121.153383,25.019018,True,0,大園,大園,(桃園市),38.36,low risk,6.8,35
草漯國民小學,新生路1462號,121.142939,25.045941,True,100,觀音,觀音,(桃園市),38.6,low risk,6.16,35
上大國民小學,8鄰大湖路一段540號,121.146755,24.979129,True,100,平鎮,平鎮,(桃園市),37.78,low risk,6.47,35
崙坪國民小學,崙坪里297之1號,121.162676,24.999596,True,100,平鎮,平鎮,(桃園市),38.11,low risk,6.67,35
富林國民小學,大觀路三段466號,121.1285,25.062195,True,100,觀音,觀音,(桃園市),38.58,low risk,5.47,35
樹林國民小學,觀音鄉樹林村新村路二段十二號,121.128468,25.062176,True,100,觀音,觀音,(桃園市),38.58,low risk,5.47,35
觀音區公所綠資源中心,觀新路56號,121.083597,25.028281,True,0,觀音,觀音,(桃園市),38.01,low risk,0.81,35
高雄市前鎮區光華國民小學,廣西路57號,120.32,22.615,True,300,復興,復興,(高雄市),83.82,warning,1.08,26
大武國小,民族街2巷49號,120.905497,22.365009,True,350,屏東（枋山）,屏東（枋山）,(屏東縣),76.29,warning,28.58,21
尖山國小操場,尖豐路305號,120.894048,24.64686,False,200,頭份,頭份,(苗栗縣),36.18,low risk,5.58,45
高雄市小港區鳳林國民小學,鳳林路207號,120.343,22.527,True,300,小港,小港,(高雄市),88.57,warning,4.35,23
大武社區活動中心,2鄰小山巷7號,120.754782,22.757534,True,30,美濃,美濃,(高雄市),74.99,warning,26.92,28
和平國小,和平112號,121.748879,24.308073,True,250,冬山,冬山,(宜蘭縣),37.37,low risk,36.32,32
佳義社區活動中心,泰平巷11號,120.630874,22.653475,True,0,屏東,屏東,(屏東縣),79.47,warning,14.82,26
中東社區活動中心,山腳路五段185巷20號,120.599689,23.971414,True,30,員林,員林,(彰化縣),42.84,low risk,3.87,28
崇實高工體育館,育英路103號,120.574848,23.961057,True,80,員林,員林,(彰化縣),43.66,low risk,1.19,28
東芳國小,彰馬路45號,120.516345,24.062538,True,145,彰化,彰化,(彰化縣),40.37,low risk,2.58,29
三義社區活動中心,員鹿路245巷112號,120.563531,23.95268,True,200,員林,員林,(彰化縣),43.87,low risk,0.99,28
大同國中,大同路一段345號,120.579502,23.963213,True,200,員林,員林,(彰化縣),43.56,low risk,1.67,28
員林農工體育館,員水路二段313號,120.581692,23.955187,True,200,員林,員林,(彰化縣),43.69,low risk,2.01,28
員林市員東國小,員東路二段12號,120.587309,23.961879,True,200,員林,員林,(彰化縣),43.51,low risk,2.45,28
員林市員林國中活動中心,南潭路2號,120.557085,23.979184,True,200,員林,員林,(彰化縣),43.18,low risk,2.05,28
員林市員林國小,三民東街221號,120.57921,23.960059,True,300,員林,員林,(彰化縣),43.63,low risk,1.64,28
健康公園,忠明南路與五權南路交叉口,120.667553,24.119757,False,7500,大里,大里,(臺中市),38.61,low risk,2.5,32
屏東市信義國小,信義路262號,120.49197,22.68523,True,965,屏東,屏東,(屏東縣),80.01,warning,1.41,28
光隆營區,光興路1001號,120.7305,24.1112,False,80,大里,大里,(臺中市),39.09,low risk,5.44,32
大快官藝文館,彰南路五段8號,120.613159,24.068651,True,45,彰化,彰化,(彰化縣),39.99,low risk,7.28,29
彰德國中勤學樓、育英樓穿堂,彰南路二段512巷97號,120.589342,24.08054,True,45,彰化,彰化,(彰化縣),39.73,low risk,5.12,29
介壽社區活動中心,介壽新村21號,120.551727,24.070873,True,45,彰化,彰化,(彰化縣),39.92,low risk,1.17,29
國聖國小,中山路三段608號,120.568089,24.092292,True,54,彰化,彰化,(彰化縣),39.53,low risk,3.98,29
石牌國小,田坑路一段9號,120.614942,24.058558,True,63,彰化,彰化,(彰化縣),40.27,low risk,7.5,29
茄苳社區活動中心,茄苳路二段292號,120.547944,24.10378,True,64,彰化,彰化,(彰化縣),39.42,low risk,4.25,29
三民國小,田中路125號,120.604547,24.085743,True,77,彰化,彰化,(彰化縣),39.55,low risk,6.76,29
南北管戲曲音樂館,平和七街66號,120.529851,24.068206,True,77,彰化,彰化,(彰化縣),40.07,low risk,1.21,29
牛埔社區活動中心,彰南路三段226號,120.597531,24.081368,True,78,彰化,彰化,(彰化縣),39.69,low risk,5.94,29
桃源社區活動中心,公園路二段102之1號,120.559047,24.072547,True,90,彰化,彰化,(彰化縣),39.92,low risk,1.92,29
南興社區活動中心,中山路一段189巷49號,120.533189,24.056604,True,93,彰化,彰化,(彰化縣),40.33,low risk,1.34,29
快官社區活動中心,彰南路四段566號之1,120.612013,24.068422,True,115,彰化,彰化,(彰化縣),40.0,low risk,7.16,29
福山社區活動中心,福山街168號,120.571394,24.082668,True,177,彰化,彰化,(彰化縣),39.72,low risk,3.55,29
延和社區活動中心,埔西街111號,120.538252,24.059306,True,184,彰化,彰化,(彰化縣),40.18,low risk,0.81,29
泰和國小,泰和路二段145巷1號,120.55168,24.092496,True,203,彰化,彰化,(彰化縣),39.59,low risk,3.12,29
彰興國中,埔西街107號,120.538251,24.059274,True,242,彰化,彰化,(彰化縣),40.19,low risk,0.82,29
信義國中小,向陽街168號,120.52814,24.062723,True,399,彰化,彰化,(彰化縣),40.22,low risk,1.41,29
雅溝社區活動中心,南軒路359巷7號,120.492521,24.099707,True,150,線西,線西,(彰化縣),39.75,low risk,4.28,29
港口社區活動中心,港口路42號,120.8271,21.9912,True,50,恆春,恆春,(屏東縣),68.28,warning,5.39,16
恆春國中收容所,文化路79號,120.7475,22.0031,True,1400,恆春,恆春,(屏東縣),70.37,warning,6.58,17
恆春鎮公所,天文路1號,120.7474,22.0038,True,220,恆春,恆春,(屏東縣),70.42,warning,6.65,17
永靖社區活動中心,庄內路33巷8-1號,120.8092,22.0052,True,30,恆春,恆春,(屏東縣),69.21,warning,5.64,17
永港國民小學,新庄路25號,120.817377,22.005679,True,100,恆春,恆春,(屏東縣),69.53,warning,6.05,17
恒春國小收容所,北門路39巷26號,120.7466,22.0064,True,200,恆春,恆春,(屏東縣),70.66,warning,6.92,17
僑勇國小收容所,西門路146號,120.7442,22.0087,True,430,恆春,恆春,(屏東縣),70.49,warning,7.28,18
滿州國民小學,中山路39號,120.838101,22.020382,True,100,恆春,恆春,(屏東縣),71.37,warning,8.59,17
屏東縣滿州鄉公所,中山路43號,120.8386,22.0209,True,30,恆春,恆春,(屏東縣),71.41,warning,8.66,17
舊蘭嶼國小,臺東縣蘭嶼鄉紅頭村1-1號,121.5546,22.0211,True,100,恆春,恆春,(屏東縣),43.0,low risk,79.26,3
滿州社區活動中心,中山路107號,120.8371,22.0233,True,30,恆春,恆春,(屏東縣),71.51,warning,8.79,17
屏東縣滿州鄉圖書館,中山路152號,120.8377,22.0243,True,100,恆春,恆春,(屏東縣),71.59,warning,8.92,17
滿州國民中學,文化路32號,120.839695,22.024499,True,100,恆春,恆春,(屏東縣),71.67,warning,9.05,17
蘭恩活動中心,臺東縣蘭嶼鄉紅頭村漁人147號,121.539,22.026,True,500,恆春,恆春,(屏東縣),43.0,low risk,77.7,3
蘭嶼國民小學,1號 之1,121.5266,22.0302,True,100,恆春,恆春,(屏東縣),43.0,low risk,76.48,3
響林活動中心,福德路64巷3號,120.8335,22.0377,True,50,恆春,恆春,(屏東縣),71.73,warning,9.98,18
椰油國民小學,1號,121.5176,22.0453,True,100,恆春,恆春,(屏東縣),43.0,low risk,75.75,3
蘭嶼完全高級中學,臺東縣蘭嶼鄉椰油村34號,121.5126,22.0494,True,500,恆春,恆春,(屏東縣),43.0,low risk,75.3,3
屏東縣立車城國小保力分校,保力路30號,120.7275,22.0561,True,63,恆春,恆春,(屏東縣),73.38,warning,12.61,18
屏東縣立車城國小射寮分校,埔墘路38號,120.7118,22.0567,True,63,恆春,恆春,(屏東縣),73.78,warning,13.55,18
屏東縣立車城國中,新興路42號,120.7165,22.0729,True,350,恆春,恆春,(屏東縣),74.12,warning,14.79,18
高士國小牡林分校,四林路80號,120.8139,22.0731,True,304,恆春,恆春,(屏東縣),73.22,warning,13.05,18
長樂村長壽俱樂部,和平路21號,120.8258,22.0742,True,50,恆春,恆春,(屏東縣),73.33,warning,13.46,18
屏東縣立車城國小,中山路66號,120.7146,22.0749,True,250,恆春,恆春,(屏東縣),74.21,warning,15.08,18
長樂國小,大公路35號,120.8286,22.0755,True,120,恆春,恆春,(屏東縣),73.4,warning,13.68,18
車城福安宮香客大樓,福安路5之1號,120.7119,22.0766,True,100,恆春,恆春,(屏東縣),74.3,warning,15.39,18
朗島國小,臺東縣蘭嶼鄉朗島村17號,121.5286,22.0792,True,100,恆春,恆春,(屏東縣),43.0,low risk,77.43,3
屏東縣立車城國小溫泉分校,文化路23號,120.7487,22.096,True,63,恆春,恆春,(屏東縣),74.24,warning,15.89,18
九棚永久屋大愛基地活動中心,九棚路大愛巷6號,120.87378,22.111079,True,100,恆春,恆春,(屏東縣),74.82,warning,19.13,18
高士國小,高士路29號,120.847,22.1248,True,350,恆春,恆春,(屏東縣),74.94,warning,19.48,18
石門村活動中心,石門路18號,120.774,22.1254,True,100,恆春,恆春,(屏東縣),74.75,warning,18.67,18
港仔活動中心,港仔路67號,120.8815,22.1334,True,50,恆春,恆春,(屏東縣),75.35,warning,21.71,18
竹坑活動中心,竹坑一巷1鄰8號,120.7012,22.1454,True,40,屏東（枋山）,屏東（枋山）,(屏東縣),75.13,warning,13.83,18
牡丹國小,牡丹路93號,120.8377,22.1766,True,350,屏東（枋山）,屏東（枋山）,(屏東縣),75.84,warning,21.34,18
楓港國民小學,光復24號,120.6922,22.1902,True,90,屏東（枋山）,屏東（枋山）,(屏東縣),74.52,warning,8.91,18
旭海村活動中心,旭海路93-1號,120.8786,22.1917,True,250,屏東（枋山）,屏東（枋山）,(屏東縣),74.91,warning,24.61,19
楓港老人文康中心,村舊庄1-2號,120.6895,22.193,True,80,屏東（枋山）,屏東（枋山）,(屏東縣),74.42,warning,8.5,18
楓林國小,楓林二巷22之2號,120.7038,22.2022,True,50,屏東（枋山）,屏東（枋山）,(屏東縣),74.39,warning,8.46,18
丹路國小,丹路一巷39號,120.7515,22.2034,True,50,屏東（枋山）,屏東（枋山）,(屏東縣),75.28,warning,12.12,18
獅子鄉立綜合體育館,舊庄280號,120.7014,22.2051,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),74.24,warning,8.06,19
東源村活動中心,東源路6號,120.851,22.2052,True,250,屏東（枋山）,屏東（枋山）,(屏東縣),74.99,warning,21.45,19
內文活動中心,3鄰26號,120.8507,22.2183,True,40,屏東（枋山）,屏東（枋山）,(屏東縣),75.17,warning,21.05,19
獅子活動中心,3鄰35號,120.6805,22.2323,True,0,屏東（枋山）,屏東（枋山）,(屏東縣),72.23,warning,4.36,20
草埔活動中心,6鄰64號,120.8014,22.2341,True,40,屏東（枋山）,屏東（枋山）,(屏東縣),75.06,warning,15.72,19
枋山鄉公所,枋山路82號,120.6524235,22.26396799,True,50,屏東（枋山）,屏東（枋山）,(屏東縣),67.62,warning,0.36,21
枋寮高中正成分校,國中路1號,120.6606,22.2643,True,150,屏東（枋山）,屏東（枋山）,(屏東縣),68.81,warning,1.01,21
南田基督教會,臺東縣達仁鄉南田村3鄰20號,120.890256,22.276682,True,50,屏東（枋山）,屏東（枋山）,(屏東縣),76.0,warning,24.63,19
森永活動中心,臺東縣達仁鄉森永村3鄰31號,120.864826,22.280641,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),76.04,warning,22.06,19
南田活動中心,臺東縣達仁鄉南田村10之2號,120.888972,22.286514,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),76.11,warning,24.6,19
安朔基督教會,臺東縣達仁鄉安朔村2鄰20號,120.866016,22.292996,True,50,屏東（枋山）,屏東（枋山）,(屏東縣),76.21,warning,22.36,19
安朔集會所,6鄰安朔路114號,120.867753,22.293497,True,50,屏東（枋山）,屏東（枋山）,(屏東縣),76.21,warning,22.55,19
安朔國小,臺東縣達仁鄉安朔村8鄰113號,120.868276,22.294292,True,200,屏東（枋山）,屏東（枋山）,(屏東縣),76.22,warning,22.61,19
達仁鄉公所禮堂,9鄰復興路14號,120.883062,22.297005,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),76.25,warning,24.17,19
內獅國小,內獅村1號,120.6427,22.3052,True,0,屏東（枋山）,屏東（枋山）,(屏東縣),73.85,warning,5.01,23
南興村社區活動中心,達興路173號,120.8867,22.3104,True,200,屏東（枋山）,屏東（枋山）,(屏東縣),76.41,warning,24.82,19
南福社區活動中心,忠孝路1-10號,120.3634,22.3284,True,50,屏東（琉球）,屏東（琉球）,(屏東縣),82.31,warning,3.01,22
加祿國民小學,會社28號,120.6211,22.3302,True,60,屏東（枋山）,屏東（枋山）,(屏東縣),76.7,warning,8.32,23
大福社區活動中心,和平路3巷14-1號,120.3708,22.3338,True,100,屏東（琉球）,屏東（琉球）,(屏東縣),82.13,warning,2.15,22
琉球國中,中正路158號,120.3685,22.336,True,200,屏東（琉球）,屏東（琉球）,(屏東縣),82.15,warning,2.01,22
琉球國小,中正路293號,120.3683,22.3371,True,200,屏東（琉球）,屏東（琉球）,(屏東縣),82.14,warning,1.92,22
尚武村社區活動中心,政通3街1號,120.8818,22.342,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),76.21,warning,25.35,21
大武鄉立托兒所,政通5街6-1號,120.8806,22.3425,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),76.22,warning,25.26,21
全德國小,復興路97號,120.3692,22.3462,True,200,屏東（琉球）,屏東（琉球）,(屏東縣),81.98,warning,1.06,22
琉球鄉公所,行政路12號,120.3837,22.3501,True,150,屏東（琉球）,屏東（琉球）,(屏東縣),81.92,warning,0.71,22
老人文康活動中心,海邊路6號,120.5997,22.3562,True,150,屏東（枋山）,屏東（枋山）,(屏東縣),78.95,warning,11.86,23
大武老人會館,大武街110號,120.9038,22.3564,True,150,屏東（枋山）,屏東（枋山）,(屏東縣),76.22,warning,28.05,21
大武鄉多功能綜合活動中心暨避難收容所,大武街21巷1號,120.9064,22.3581,True,300,屏東（枋山）,屏東（枋山）,(屏東縣),76.22,warning,28.36,21
古華社區活動中心,古華路6鄰2巷46號,120.6281,22.3596,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),78.17,warning,11.24,23
大武村社區活動中心,大武街56號,120.8975,22.3596,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),76.29,warning,27.59,21
古華國民小學,3巷63號,120.626,22.361,True,200,屏東（枋山）,屏東（枋山）,(屏東縣),78.3,warning,11.43,23
僑德國小,僑德路186號,120.6,22.3631,True,320,屏東（枋山）,屏東（枋山）,(屏東縣),79.26,warning,12.54,23
枋寮國小,德興路197號,120.5908,22.3678,True,189,屏東（枋山）,屏東（枋山）,(屏東縣),79.8,warning,13.43,23
士文聚會所,64-2號,120.6639,22.3685,True,50,屏東（枋山）,屏東（枋山）,(屏東縣),77.7,warning,12.03,23
古華國民小學-士文分校,65號,120.6635,22.3689,True,60,屏東（枋山）,屏東（枋山）,(屏東縣),77.72,warning,12.07,23
春日社區活動中心,春日路13號,120.6243,22.3703,True,50,屏東（枋山）,屏東（枋山）,(屏東縣),78.79,warning,12.48,23
春日國民小學,春日路314號,120.627,22.3703,True,200,屏東（枋山）,屏東（枋山）,(屏東縣),78.71,warning,12.42,23
枋寮高中,義民路3號,120.5908,22.3711,True,1136,屏東（枋山）,屏東（枋山）,(屏東縣),79.94,warning,13.75,23
臺東縣立安朔國小新化分校,57號,120.856773,22.381551,True,200,屏東（枋山）,屏東（枋山）,(屏東縣),76.1,warning,25.02,23
建興國小,建興路39號,120.6019,22.387,True,162,屏東（枋山）,屏東（枋山）,(屏東縣),80.19,warning,14.92,23
東海國小,東海路486號,120.5773,22.4013,True,524,潮州,潮州,(屏東縣),81.56,warning,13.65,23
東海國小太源分校,太源路2-10號,120.593,22.4082,True,90,潮州,潮州,(屏東縣),81.22,warning,13.19,23
國立佳冬高農,佳農街17號,120.5584,22.409,True,239,潮州,潮州,(屏東縣),82.52,warning,12.69,23
加津林活動中心,加津林50號,120.9223,22.4162,True,200,屏東（枋山）,屏東（枋山）,(屏東縣),76.47,warning,32.77,21
佳冬鄉立幼兒園,文化一路240號,120.5669,22.423,True,200,潮州,潮州,(屏東縣),82.61,warning,11.15,23
力里國民小學,自強1路92號,120.629,22.4277,True,200,潮州,潮州,(屏東縣),80.59,warning,12.69,23
春日鄉立老人文康中心,9鄰自強1路18號,120.6279,22.428,True,120,潮州,潮州,(屏東縣),80.63,warning,12.6,23
佳冬國中,大同路1號,120.5668,22.4285,True,300,潮州,潮州,(屏東縣),82.76,warning,10.54,23
屏東縣林邊鄉崎峰活動中心,成功路600號,120.4902,22.4298,True,200,林園,林園,(高雄市),85.99,warning,9.77,24
來義鄉文物館,19鄰289號,120.6379,22.435,True,100,潮州,潮州,(屏東縣),80.5,warning,12.57,23
南和國小,51號,120.6426,22.4364,True,200,潮州,潮州,(屏東縣),80.4,warning,12.77,23
屏東縣林邊鄉仁和國民小學,中山路417號,120.5114,22.4374,True,200,潮州,潮州,(屏東縣),85.17,warning,10.82,24
土?天主堂,1鄰22號,120.886914,22.453848,True,50,屏東（枋山）,屏東（枋山）,(屏東縣),76.3,warning,32.35,23
臺東縣立土?國小,2鄰10 號,120.887664,22.453853,True,200,屏東（枋山）,屏東（枋山）,(屏東縣),76.29,warning,32.41,23
達仁鄉立土?托兒所,1鄰106號,120.885982,22.454897,True,160,屏東（枋山）,屏東（枋山）,(屏東縣),76.31,warning,32.36,23
大潭國小,大潭路93號,120.495771,22.456799,True,150,林園,林園,(高雄市),86.82,warning,8.99,24
愛國蒲分校,愛國蒲6鄰92號,120.9227,22.4575,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),75.85,warning,35.44,23
以栗國小,船頭路25號,120.4629,22.4624,True,300,林園,林園,(高雄市),89.69,warning,5.59,24
東隆宮香客大樓,東隆街21-1號,120.4488,22.4631,True,300,林園,林園,(高雄市),91.15,warning,4.22,24
太麻里鄉多良村辦公處,18鄰大溪251號,120.9414,22.4631,True,80,屏東（枋山）,屏東（枋山）,(屏東縣),75.62,warning,37.34,23
東隆國小,共和街45號,120.449937,22.463386,True,500,林園,林園,(高雄市),91.05,warning,4.31,24
望嘉警察派出所,114-1號,120.6218,22.4636,True,100,潮州,潮州,(屏東縣),81.02,warning,9.09,24
屏東縣林邊鄉竹林國民小學,中興122號,120.5331,22.4642,True,100,潮州,潮州,(屏東縣),84.63,warning,7.16,24
東港高中,船頭路1號,120.4555,22.4652,True,450,林園,林園,(高雄市),90.58,warning,4.77,24
東光國小,長春二路15號,120.4596,22.4694,True,150,林園,林園,(高雄市),90.38,warning,5.04,24
東港國小,中正路一段10號,120.4547,22.4707,True,300,林園,林園,(高雄市),90.97,warning,4.52,24
新埤鄉立幼兒園,民眾路103號,120.611,22.4754,True,250,潮州,潮州,(屏東縣),81.46,warning,7.37,24
臺東縣台?國民小學,10鄰59-1號,120.9077,22.47755,True,200,屏東（枋山）,屏東（枋山）,(屏東縣),76.07,warning,35.7,23
台?活動中心,10鄰56號,120.9081,22.47805,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),76.07,warning,35.77,23
東興國小,興東路43-1號,120.4657,22.4784,True,461,林園,林園,(高雄市),90.08,warning,5.54,24
北市大附小,公園路29號,120.913,22.4797,True,157,屏東（枋山）,屏東（枋山）,(屏東縣),76.0,warning,36.26,23
台?基督教會,8鄰24號,120.913513,22.479837,True,50,屏東（枋山）,屏東（枋山）,(屏東縣),76.0,warning,36.31,23
啦里吧活動中心,9鄰啦里吧49號,120.9136,22.48099,True,100,屏東（枋山）,屏東（枋山）,(屏東縣),75.99,warning,36.41,23
新埤國小,新華路165號,120.5653,22.4844,True,450,潮州,潮州,(屏東縣),83.07,warning,4.32,24
高雄市立中芸國民中學,中芸路3-100號,120.395311,22.485875,True,700,林園,林園,(高雄市),95.45,warning,1.83,23
中芸國小,中芸路1號,120.3967,22.4871,True,500,林園,林園,(高雄市),95.61,warning,1.76,23
烏龍國小,南興路217號,120.4581,22.4877,True,100,林園,林園,(高雄市),91.07,warning,4.85,24
鹽洲國小,鹽洲路379號,120.4408,22.4883,True,50,林園,林園,(高雄市),93.14,warning,3.14,24
溪北社區活動中心,仁里路93號,120.5111,22.4945,True,50,潮州,潮州,(屏東縣),86.41,warning,6.05,24
溪北國小,仁里路102號,120.5111,22.4957,True,95,潮州,潮州,(屏東縣),86.41,warning,5.98,24
文樂活動中心,新樂路1號,120.6243,22.4999,True,50,潮州,潮州,(屏東縣),81.23,warning,6.98,24
高雄市林園區港埔國民小學,校前路1號,120.378585,22.504297,True,690,林園,林園,(高雄市),92.2,warning,4.38,23
高雄市林園區王公國民小學,王公二路100號,120.388254,22.504698,True,1100,林園,林園,(高雄市),92.52,warning,3.7,24
高雄市林園區林園國民小學,忠孝西路20號,120.394303,22.506778,True,2000,林園,林園,(高雄市),92.91,warning,3.52,24
林園區長青文康活動中心,林園北路191號,120.3945,22.5087,True,260,林園,林園,(高雄市),92.79,warning,3.7,24
港西國小,中和路101號,120.4556,22.5087,True,30,林園,林園,(高雄市),91.32,warning,5.55,24
來義鄉新來義部落多功能活動中心,來新路21號,120.5825,22.5087,True,500,潮州,潮州,(屏東縣),82.26,warning,2.71,24
潮南國小,興美路24號,120.534672,22.512958,True,1126,潮州,潮州,(屏東縣),84.58,warning,2.95,24
南榮國中,田寮路1-15號,120.5184,22.5134,True,200,潮州,潮州,(屏東縣),85.87,warning,4.52,24
崁頂國小,中正路119號,120.5118,22.5141,True,200,潮州,潮州,(屏東縣),86.41,warning,5.17,24
高雄市小港區鳳鳴國民小學,鳳鳴路191號,120.357564,22.515082,True,200,小港,小港,(高雄市),89.95,warning,6.0,23
崁頂老人文康中心,興農路29-12號,120.5069,22.5152,True,150,潮州,潮州,(屏東縣),86.81,warning,5.64,24
高雄市立林園高級中學,林園北路481號,120.395661,22.516726,True,2600,林園,林園,(高雄市),92.38,warning,4.46,24
丹林活動中心,丹林路25-1號,120.6348,22.5174,True,50,潮州,潮州,(屏東縣),81.02,warning,7.59,24
高雄市小港區鳳林國民中學,龍鳳路559號,120.348385,22.52185,True,50,小港,小港,(高雄市),89.08,warning,5.01,23
潮東國小,復興路66號,120.5609105,22.52309297,True,85,潮州,潮州,(屏東縣),82.28,warning,0.03,24
新園國小,媽祖路49號,120.4519,22.5241,True,100,大寮,大寮,(高雄市),91.62,warning,5.22,24
歷坵活動中心 Liqiu Activity Center,"1鄰12號No.12,Liqiu,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",120.926439,22.526384,True,100,臺東,臺東,(臺東縣),75.74,warning,34.3,23
古樓國小,育英路2號,120.6258,22.5275,True,200,潮州,潮州,(屏東縣),81.27,warning,6.66,24
高雄市林園區金潭國民小學,金潭路40號,120.396078,22.528055,True,260,大寮,大寮,(高雄市),91.99,warning,5.01,24
金崙溫泉長老教會,16鄰40號,120.937667,22.530918,True,20,臺東,臺東,(臺東縣),75.54,warning,33.16,23
賓茂國小 Binmao Elementary School,"68號No.68,Binmao,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",120.95583,22.532403,True,100,臺東,臺東,(臺東縣),75.25,warning,31.84,23
賓茂活動中心 Binmao Activity Center,"1鄰3-2號No.3-2,Binmao,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",120.961712,22.532592,True,100,臺東,臺東,(臺東縣),75.15,warning,31.44,23
金崙活動中心,太麻里鄉6鄰金崙283號,120.964363,22.533379,True,80,臺東,臺東,(臺東縣),75.11,warning,31.21,23
光春國中,光春路290號,120.539763,22.534662,True,600,潮州,潮州,(屏東縣),84.19,warning,2.55,24
力社國小,力社路36號,120.5092,22.5388,True,200,潮州,潮州,(屏東縣),86.59,warning,5.62,24
義仁里社區活動中心,鳳林一路48號,120.403252,22.539227,True,100,大寮,大寮,(高雄市),92.43,warning,3.58,24
光春國小,志成路201號,120.536872,22.540379,True,550,潮州,潮州,(屏東縣),84.46,warning,3.15,24
高雄市大寮區昭明國小,鳳林一路300巷80號,120.408514,22.54239,True,350,大寮,大寮,(高雄市),92.92,warning,2.97,24
新園鄉公所,仙吉路148號,120.4615,22.5438,True,30,大寮,大寮,(高雄市),90.98,warning,4.35,24
仙吉國小,仙吉路91號,120.4611,22.5443,True,100,大寮,大寮,(高雄市),91.03,warning,4.29,24
四林國小,開元路2巷1號,120.569267,22.544592,True,50,潮州,潮州,(屏東縣),82.75,warning,2.53,24
新園國中,仙吉路111號,120.461,22.5452,True,300,大寮,大寮,(高雄市),91.04,warning,4.23,24
光華國小,南進路2號,120.543657,22.547268,True,240,潮州,潮州,(屏東縣),84.06,warning,3.23,24
鎮立幼兒園,三星路39-2號,120.550815,22.547719,True,300,潮州,潮州,(屏東縣),83.64,warning,2.94,24
潮州國小,育英路31號,120.541139,22.548406,False,285,潮州,潮州,(屏東縣),84.23,high risk,3.49,24
佳佐國小中興分校,中興路27號,120.6123,22.5491,True,60,潮州,潮州,(屏東縣),81.63,warning,5.99,24
瓦?國小,四環路3號,120.4747,22.5523,True,50,大寮,大寮,(高雄市),89.55,warning,5.24,24
平和活動中心,1鄰1號,120.6293,22.5527,True,200,潮州,潮州,(屏東縣),81.19,warning,7.73,24
潮州國中,文化路66號,120.542947,22.554008,True,250,潮州,潮州,(屏東縣),84.15,warning,3.91,24
會結里社區活動中心,會結路14-3號,120.424982,22.554827,True,100,大寮,大寮,(高雄市),95.25,warning,1.04,24
潮和國小,華嚴街1號,120.538038,22.556803,True,630,潮州,潮州,(屏東縣),84.45,warning,4.44,24
