避難收容處所名稱,避難收容處所地址,經度,緯度,室內室外,可容納人數,最近測站ID,最近測站名稱,最近測站位置,周圍空氣污染指數,風險等級,最近測站距離(km),影響測站數量
大嘉國小,彰和路3段50號,120.511,24.0966,True,200,彰化,彰化,(彰化縣),39.74,low risk,4.6,29
新庄社區活動中心,彰化縣和美鎮新庄里東發路100巷36-1號,120.5336,24.0971,True,100,彰化,彰化,(彰化縣),39.61,low risk,3.55,29
福興宮,福興街1號,120.677457,24.098079,True,100,大里,大里,(臺中市),39.08,low risk,0.2,31
面前社區活動中心,雅安路265號,120.488,24.099,True,100,線西,線西,(彰化縣),39.79,low risk,4.11,29
農特產品產銷中心,山林巷175之18號,121.030694,24.099167,True,200,埔里,埔里,(南投縣),39.32,low risk,15.83,33
大新活動中心,新興路99巷16弄56號,120.675852,24.099619,True,200,大里,大里,(臺中市),39.04,low risk,0.26,31
大里運動公園,勝利二街與大里路與國光路交叉口,120.685353,24.100053,False,2000,大里,大里,(臺中市),39.1,low risk,0.7,31
大里國民小學運動場,新興路50號,120.677018,24.100547,True,620,大里,大里,(臺中市),39.03,low risk,0.18,31
國光里活動中心,勝利二路1號,120.683161,24.10083,True,45,大里,大里,(臺中市),39.07,low risk,0.5,31
立德里活動中心,甲提南路10號,120.694601,24.100964,True,75,大里,大里,(臺中市),39.08,low risk,1.65,32
內新國民小學北棟地下室/操場,東昇里日新路8號,120.69486,24.100964,True,350,大里,大里,(臺中市),39.08,low risk,1.67,32
自治公園,五光路971號,120.628046,24.101386,False,4000,大里,大里,(臺中市),38.94,low risk,5.12,31
大霞社區活動中心,彰和路3段422號,120.5037,24.1017,True,250,線西,線西,(彰化縣),39.67,low risk,4.84,29
行政院原住民族委員會青年?藝研習中心,東關路3段3之8號,120.548274,24.102225,True,1200,彰化,彰化,(彰化縣),39.44,low risk,4.09,29
大元國民小學新元館/操場,現岱路60號,120.691079,24.102746,True,1120,大里,大里,(臺中市),39.03,low risk,1.33,32
東汴里活動中心,長龍路3段135號,120.7716,24.1035,True,189,大里,大里,(臺中市),39.17,low risk,9.47,31
和仁國小,仁愛路279號,120.494,24.104,True,150,線西,線西,(彰化縣),39.65,low risk,3.98,29
新庄國小,彰新路2段500號,120.533,24.104,True,200,彰化,彰化,(彰化縣),39.5,low risk,4.31,29
草中社區活動中心,彰化縣鹿港鎮草中里草中巷2-16號,120.4626,24.1041,True,100,線西,線西,(彰化縣),39.8,low risk,3.14,29
立新國民中學勤學樓地下室/風雨操場,甲堤路236號,120.696923,24.104365,False,200,大里,大里,(臺中市),39.04,low risk,1.95,32
光隆國小〈圖書室2樓〉,太平區光隆里光興路487巷5號,120.7277,24.1046,True,1773,大里,大里,(臺中市),39.19,low risk,5.03,32
烏日國民中學第1棟2樓,新興路457號,120.617307,24.104763,True,200,忠明,忠明,(臺中市),38.9,low risk,5.78,30
光德國中B、C棟教室2樓,烏日區仁德里信義街99號,120.6408,24.1051,True,320,大里,大里,(臺中市),38.85,low risk,3.87,31
立新國民小學D棟大樓地下室/風雨操場,立新街338號,120.699567,24.10543,True,250,大里,大里,(臺中市),39.04,low risk,2.24,32
北三棧社區活動中心,順安52-2號,121.621,24.1057,True,35,花蓮,花蓮,(花蓮縣),34.12,low risk,15.1,18
三和里公兒九公園,三榮路一段與三榮三路口,120.608039,24.106312,False,1000,忠明,忠明,(臺中市),38.88,low risk,6.08,30
草中社區發展協會,草中巷2-16號,120.463263,24.106537,True,60,線西,線西,(彰化縣),39.72,low risk,2.86,29
益民國民小學後棟地下室/運動場,益民路二段48號,120.6873,24.107,True,525,大里,大里,(臺中市),38.93,low risk,1.22,32
烏日社區活動中心,烏日區烏日里光日路228號,120.6257,24.1075,True,80,忠明,忠明,(臺中市),38.8,low risk,5.18,30
爽文國民中學活動中心/操場,永隆三街1號,120.677165,24.107882,True,1470,大里,大里,(臺中市),38.93,low risk,0.93,31
糖友社區活動中心,糖友一街80-82號2樓,120.5342,24.108,True,200,彰化,彰化,(彰化縣),39.43,low risk,4.73,29
新仁活動中心,立新街71號,120.705297,24.108,True,50,大里,大里,(臺中市),39.03,low risk,2.88,32
僑仁國小體育館,中山路一段341號,120.640795,24.108288,True,300,大里,大里,(臺中市),38.76,low risk,3.94,31
樹王活動中心,樹王路335號,120.66758,24.108368,True,75,大里,大里,(臺中市),38.88,low risk,1.47,31
和美鎮公所,彰化縣和美鎮鹿和路6段337號,120.4943,24.1085,True,150,線西,線西,(彰化縣),39.55,low risk,3.63,29
和東國小,彰美路5段210號,120.5015,24.1093,True,500,線西,線西,(彰化縣),39.53,low risk,4.13,29
九德國民小學風雨操場,長春街300號,120.638956,24.109863,True,300,大里,大里,(臺中市),38.71,low risk,4.17,31
和美鎮立幼兒園,忠孝路329號,120.5,24.11,True,100,線西,線西,(彰化縣),39.52,low risk,3.96,29
光榮國民中學光榮館/操場,東榮路280號,120.686909,24.110479,True,600,大里,大里,(臺中市),38.88,low risk,1.48,32
兒童青少年福利服務中心,新光路32號,120.691871,24.110647,True,200,大里,大里,(臺中市),38.91,low risk,1.83,32
永隆國民小學活動中心/操場,永隆五街二號,120.676497,24.110842,True,1100,大里,大里,(臺中市),38.81,low risk,1.26,32
和美國小,和平路19號,120.495,24.111,True,500,線西,線西,(彰化縣),39.49,low risk,3.49,29
柑井社區活動中心,柑竹路331巷21號,120.514,24.111,True,100,線西,線西,(彰化縣),39.47,low risk,5.11,29
和群國中,美寮路一段390號,120.519,24.111,True,300,彰化,彰化,(彰化縣),39.46,low risk,5.5,29
光隆營區,大平區黃竹里光興路1001號,120.730485,24.111229,False,35,大里,大里,(臺中市),39.09,low risk,5.44,32
下犁民眾活動中心,下犁路139之1號,120.469995,24.111237,True,80,線西,線西,(彰化縣),39.51,low risk,2.27,29
旭光國小旭光廳2樓,烏日區榮泉里健行路501號,120.592633,24.111637,True,120,西屯,西屯,(臺中市),38.83,low risk,6.14,30
僑泰中學育才大樓,樹王路342號,120.666962,24.11179,True,250,大里,大里,(臺中市),38.81,low risk,1.79,31
中圍社區活動中心,竹社路123號,120.532,24.112,True,100,彰化,彰化,(彰化縣),39.38,low risk,5.21,29
樹義國小樂群樓及操場,福田路11號,120.6574,24.112,False,953,大里,大里,(臺中市),38.75,low risk,2.54,31
興隆里活動中心,興隆路76號,120.7323,24.112,True,204,大里,大里,(臺中市),39.09,low risk,5.64,32
永隆里活動中心,永隆六街29號,120.673837,24.112793,True,60,大里,大里,(臺中市),38.77,low risk,1.54,32
和美高中,彰化縣和美鎮和西里西園路31號,120.4936,24.113,True,500,線西,線西,(彰化縣),39.45,low risk,3.24,29
中寮社區活動中心,東興路25號,120.538,24.113,True,60,彰化,彰化,(彰化縣),39.33,low risk,5.24,29
長億高中〈體育館.操場〉,長億六街一號,120.7216,24.1131,True,5386,大里,大里,(臺中市),39.03,low risk,4.63,32
內新里活動中心,中新街9號,120.690859,24.113152,True,75,大里,大里,(臺中市),38.87,low risk,1.96,32
福崙宮,崙尾巷77-1號,120.447793,24.113156,True,106,線西,線西,(彰化縣),39.77,low risk,2.98,29
